,movie,years,imdb,metascore,votes,n_imdb
0,Star Wars: Episode VII - The Force Awakens,2015,8.0,81,783413,80.0
1,Mad Max: Fury Road,2015,8.1,90,778734,81.0
2,The Martian,2015,8.0,80,678058,80.0
3,Avengers: Age of Ultron,2015,7.3,66,662573,73.0
4,The Revenant,2015,8.0,76,619126,80.0
5,Jurassic World,2015,7.0,59,538213,70.0
6,Inside Out,2015,8.2,94,534349,82.0
7,Ant-Man,2015,7.3,64,498791,73.0
8,The Hateful Eight,2015,7.8,68,433280,78.0
9,Spotlight,2015,8.1,93,363950,81.0
10,Spectre,2015,6.8,60,351942,68.0
11,Furious 7,2015,7.2,67,334529,72.0
12,Sicario,2015,7.6,82,327712,76.0
13,Room,2015,8.2,86,315511,82.0
14,Mission: Impossible - Rogue Nation,2015,7.4,75,310875,74.0
15,The Big Short,2015,7.8,81,308329,78.0
16,Fifty Shades of Grey,2015,4.1,46,278691,41.0
17,Bridge of Spies,2015,7.6,81,262521,76.0
18,The Hunger Games: Mockingjay - Part 2,2015,6.6,65,251597,66.0
19,The Man from U.N.C.L.E.,2015,7.3,56,240075,73.0
20,Terminator Genisys,2015,6.4,38,233728,64.0
21,Creed,2015,7.6,82,224036,76.0
22,Spy,2015,7.0,75,213620,70.0
23,Chappie,2015,6.8,41,213401,68.0
24,Maze Runner: The Scorch Trials,2015,6.3,43,200689,63.0
25,Southpaw,2015,7.4,57,199446,74.0
26,Insurgent,2015,6.2,42,199334,62.0
27,Minions,2015,6.4,56,193454,64.0
28,San Andreas,2015,6.1,43,192256,61.0
29,Focus,2015,6.6,56,191832,66.0
30,The Intern,2015,7.1,51,191118,71.0
31,The Lobster,2015,7.1,82,181934,71.0
32,Everest,2015,7.1,64,180835,71.0
33,Jupiter Ascending,2015,5.3,40,166120,53.0
34,Ted 2,2015,6.3,48,165365,63.0
35,Straight Outta Compton,2015,7.9,72,165028,79.0
36,Tomorrowland,2015,6.4,60,161134,64.0
37,Black Mass,2015,6.9,68,155624,69.0
38,The Witch,2015,6.8,83,153359,68.0
39,The Danish Girl,2015,7.1,66,146554,71.0
40,Cinderella,2015,6.9,67,142199,69.0
41,Fantastic Four,2015,4.3,27,139860,43.0
42,The Age of Adaline,2015,7.2,51,138670,72.0
43,Legend,2015,7.0,55,138595,70.0
44,Star Wars: Episode VII - The Force Awakens,2015,8.0,81,783413,80.0
45,Mad Max: Fury Road,2015,8.1,90,778734,81.0
